seed,t,T,algorithm,revenue,regret_cumulative,simple_regret,opt_joint_oracle,opt_indep_product_surrogate,gap_joint_minus_indep_product,a0,a1,a2,a3,a4,a5,recommendation_revenue,recommendation_simple_regret,recommendation_a0,recommendation_a1,recommendation_a2,recommendation_a3,recommendation_a4,recommendation_a5,played_revenue,played_simple_regret,played_regret_cumulative
0,6,50,GP-UCB-Iso-Mat12,1.3474668365719713,13.682029448872488,2.252533163428029,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.75,0.0,0.5,0.5,0.25,0.25,1.3474668365719713,2.252533163428029,0.75,0.0,0.5,0.5,0.25,0.25,1.3474668365719713,2.252533163428029,13.682029448872488
0,6,50,BPE-Iso-Mat12,0.47175324159023807,17.02573379107498,3.1282467584097624,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.0,0.25,1.0,0.75,0.75,1.0,0.47175324159023807,3.1282467584097624,0.0,0.25,1.0,0.75,0.75,1.0,0.47175324159023807,3.1282467584097624,17.02573379107498
0,6,50,HGP-UCB-CPP,1.9872170581461854,13.089511407791367,1.612782941853815,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.5,0.5,0.5,0.25,0.25,1.9872170581461854,1.612782941853815,0.5,0.5,0.5,0.5,0.25,0.25,1.9872170581461854,1.612782941853815,13.089511407791367
0,6,50,BZ-ETC,2.240737793435154,12.014808560320272,1.3592622065648468,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.25,1.0,0.25,0.75,1.0,1.0,2.240737793435154,1.3592622065648468,0.25,1.0,0.25,0.75,1.0,1.0,2.240737793435154,1.3592622065648468,12.014808560320272
0,6,50,SPSA,1.4951685698196853,9.517855371070976,2.1048314301803153,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.5,0.75,0.75,0.5,0.5,1.4951685698196853,2.1048314301803153,0.5,0.5,0.75,0.75,0.5,0.5,1.4951685698196853,2.1048314301803153,9.517855371070976
0,6,50,Kleinberg,1.2324950462211701,15.12715565498559,2.3675049537788304,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,1.0,1.0,0.5,0.0,0.0,0.75,1.2324950462211701,2.3675049537788304,1.0,1.0,0.5,0.0,0.0,0.75,1.2324950462211701,2.3675049537788304,15.12715565498559
0,6,50,Univariate,2.2113542493985783,14.358588335689515,1.3886457506014223,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.75,0.25,0.25,0.5,0.5,2.2113542493985783,1.3886457506014223,0.5,0.75,0.25,0.25,0.5,0.5,2.2113542493985783,1.3886457506014223,14.358588335689515
0,7,50,DMS-X0-BPE,2.3301781536756834,12.382356666735175,1.2698218463243172,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.25,0.5,0.25,0.5,0.5,0.5,0.6000000000000001,3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,2.3301781536756834,1.2698218463243172,12.382356666735175
0,7,50,Joint-DMS-GP-UCB,1.0555915135863407,15.246006986253605,2.54440848641366,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.25,0.75,0.75,0.25,0.75,0.75,1.0555915135863407,2.54440848641366,0.25,0.75,0.75,0.25,0.75,0.75,1.0555915135863407,2.54440848641366,15.246006986253605
0,7,50,GP-UCB-Iso-Mat12,1.9961775107781456,15.285851938094343,1.6038224892218549,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.75,0.25,0.25,0.75,0.5,0.75,1.9961775107781456,1.6038224892218549,0.75,0.25,0.25,0.75,0.5,0.75,1.9961775107781456,1.6038224892218549,15.285851938094343
